Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-10-07,Barbell Squat,Legs,50.0,10,,,,""
2015-10-07,Barbell Squat,Legs,50.0,10,,,,""
2015-10-07,Barbell Squat,Legs,70.0,5,,,,""
2015-10-07,Leg Press,Legs,100.0,10,,,,""
2015-10-07,Leg Press,Legs,100.0,10,,,,""
2015-10-07,Barbell Squat,Legs,80.0,5,,,,""
2015-10-07,Barbell Squat,Legs,80.0,5,,,,""
2015-10-07,Barbell Squat,Legs,80.0,5,,,,""
2015-10-07,Barbell Press,Shoulders,40.0,5,,,,""
2015-10-07,Barbell Press,Shoulders,40.0,5,,,,""
2015-10-07,Leg Press,Legs,150.0,10,,,,""
2015-10-07,Leg Press,Legs,200.0,10,,,,""
2015-10-07,Military Bench Press,Chest,50.0,10,,,,""
2015-10-07,Military Bench Press,Chest,60.0,7,,,,""
2015-10-07,Leg Press,Legs,130.0,10,,,,""
2015-10-07,Leg Press,Legs,180.0,10,,,,""
2015-10-07,Leg Press,Legs,220.0,7,,,,""
2015-10-07,Leg Press,Legs,240.0,5,,,,""
2015-10-07,Leg Press,Legs,260.0,5,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,20.0,10,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,40.0,10,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,40.0,10,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,50.0,7,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,55.0,7,,,,""
2015-10-07,Incline Barbell Bench Press,Chest,60.0,3,,,,""
2015-10-07,Lat Pulldown,Back,50.0,10,,,,""
2015-10-07,Lat Pulldown,Back,60.0,10,,,,""
2015-10-07,Barbell Squat,Legs,50.0,10,,,,""
2015-10-07,Barbell Squat,Legs,70.0,10,,,,""
2015-10-07,Box Squat,Legs,80.0,5,,,,""
2015-10-07,Box Squat,Legs,90.0,5,,,,""
2015-10-07,Box Squat,Legs,100.0,5,,,,""
2015-10-07,Box Squat,Legs,110.0,1,,,,""
2015-10-07,Box Squat,Legs,110.0,1,,,,""
2015-10-07,Romanian Deadlift,Legs,60.0,10,,,,""
2015-10-07,Romanian Deadlift,Legs,60.0,7,,,,""
2015-10-07,Romanian Deadlift,Legs,60.0,7,,,,""
2015-10-07,Barbell Squat,Legs,50.0,10,,,,""
2015-10-07,Barbell Squat,Legs,50.0,10,,,,""
